senseval2.d000.s000.t000	5) The study and creation of visual works of art
senseval2.d000.s050.t011	3) The territory occupied by a nation.
senseval2.d000.s050.t012	The most suitable dictionary definition for "entitled" is:3) Give the right toThis definition refers to the right
senseval2.d000.s050.t013	5) English painter; sister of Virginia Woolf; prominent member of the Bloomsbury Group (1879-1961
senseval2.d000.s050.t014	4) The work of providing treatment for or attending to someone or something.
senseval2.d000.s051.t000	7) Speak, pronounce, or utter in a certain way
senseval2.d000.s051.t002	2) Show approval or appreciation of
senseval2.d000.s051.t003	3) Used to express refusal or denial or disagreement etc or especially to emphasize a negative statement.
senseval2.d000.s051.t005	The most suitable dictionary definition which identifies the meaning of "high" is:7) Greater than normal in degree or intensity or
senseval2.d000.s051.t006	4) Status established in order of importance or urgency.
senseval2.d000.s051.t007	2) A service conducted in a house of worship
senseval2.d000.s051.t008	The most suitable dictionary definition which identifies the meaning of "life" is:7) The experience of being alive; the course
senseval2.d000.s051.t009	3) The accumulation of knowledge or skill that results from direct participation in events or activities.
senseval2.d000.s052.t002	4) Take the initiative and go on the offensive
senseval2.d000.s052.t004	2) A source of difficulty
senseval2.d000.s052.t006	4) the successful throw of a horseshoe or quoit so as to encircle a stake or peg.
senseval2.d000.s053.t000	3) The practice of measuring angles and distances on the ground so that they can be accurately plotted on a map.
senseval2.d000.s053.t001	The most suitable dictionary definition which identifies the meaning of "says" among the given options is:4) State as one's
senseval2.d000.s053.t003	2) Someone who plays musical handbells.
senseval2.d000.s053.t005	2) The present time or age.
senseval2.d000.s053.t006	The most suitable dictionary definition which identifies the meaning of "only" among the given options is:4) Except thatThis
senseval2.d000.s053.t007	1) With reference to action or condition; without change, interruption, or cessation.The definition "with reference to action or
senseval2.d000.s054.t001	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s054.t002	2) At all times; all the time and on every occasion
senseval2.d000.s054.t003	7) Have life, be alive
senseval2.d000.s054.t004	1) A phonetician and father of Alexander Graham Bell (1819-1905).
senseval2.d000.s054.t005	2) Have or feel a need for.
senseval2.d000.s054.t006	3) Ring or echo with sound.
senseval2.d000.s054.t007	2) (of children and animals) young, immature.
senseval2.d000.s055.t000	2) (Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is
senseval2.d000.s055.t001	1) A planned undertaking.
senseval2.d000.s055.t002	2) Be attractive to
senseval2.d000.s055.t003	The most suitable definition is:3) Travel by rail or train.In this context, "train" is used to describe
senseval2.d000.s055.t004	3) A contestant entered in a competition under false pretenses
senseval2.d000.s055.t005	1) With nevertheless the final result
senseval2.d000.s055.t008	7) Speak, pronounce, or utter in a certain way
senseval2.d000.s056.t000	The most suitable dictionary definition which identifies the meaning of "Right" is:3) Precisely, exactlyIn the
senseval2.d000.s056.t001	2) At the present moment
senseval2.d000.s056.t002	1) Presaging or likely to bring good luck
senseval2.d000.s056.t003	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
senseval2.d000.s056.t005	7) Not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
senseval2.d000.s056.t006	4) (horseshoes) the successful throw of a horseshoe or quoit so as to encircle a
senseval2.d000.s056.t007	3) Constitute an addition
senseval2.d000.s057.t000	4) Not made dim or less brightThe definition 4) Not made dim or less bright describes the meaning of "
senseval2.d000.s057.t001	1) A fundamental linguistic unit linking a signifier to that which is signified--de Saussure.
senseval2.d000.s057.t003	2) How much there is or how many there are of something that you can quantify
senseval2.d000.s057.t004	2) An adult female person (as opposed to a man)
senseval2.d000.s057.t005	5) Register formally as a participant or member.
senseval2.d000.s057.t006	The most suitable definition is:1) At a previous time;In the given sentence, "a growing number of women have
senseval2.d000.s057.t007	1) A particular kind of commercial enterpriseThis definition best fits the context of the sentence, as the sentence mentions "a
senseval2.d000.s057.t009	3) The third from the lowest forward ratio gear in the gear box of a motor vehicle
senseval2.d000.s057.t010	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s057.t011	The most suitable dictionary definition which identifies the meaning of "today" among the options is:2) The present time or age
senseval2.d000.s057.t012	2) An adult female person (as opposed to a man).
senseval2.d000.s058.t000	The most suitable dictionary definition which identifies the meaning of "accepted" is:3) Make use of or accept for some purpose
senseval2.d000.s058.t002	The most suitable definition for "however" is:4) In whatever way or manner"However" is often used to
senseval2.d000.s059.t000	2) Playing a set of bells that are (usually) hung in a tower.This definition directly relates to the meaning of
senseval2.d000.s059.t001	2) A band of musicians who play rock'n'roll music
senseval2.d000.s059.t002	2) A politically organized body of people under a single government
senseval2.d000.s059.t003	2) Use as a basis for; found on.
senseval2.d000.s059.t004	The most suitable definition is:4) Stay the same; remain in a certain stateIn this context, "remains
senseval2.d000.s059.t005	2) A piece of information about circumstances that exist or events that have occurred.
senseval2.d000.s059.t006	2) Uniquely or characteristically
senseval2.d000.s059.t008	1) An adult female person (as opposed to a man)
senseval2.d000.s059.t009	8) Any number of entities (members) considered as a unit.
senseval2.d000.s059.t011	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s059.t013	2) Used to form the superlative
senseval2.d000.s059.t015	4) a place for public (especially Christian) worship
senseval2.d000.s060.t001	2) An adult female person (as opposed to a man)
senseval2.d000.s060.t002	2) Record in a public office or in a court of law
senseval2.d000.s060.t004	1) A man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage
senseval2.d000.s060.t005	1) The distance or area or volume over which something extends
senseval2.d000.s060.t006	1) A question raised for consideration or solution.
senseval2.d000.s060.t007	3) Come to the surface
senseval2.d000.s060.t008	2) The period of finest development, happiness, or beauty
senseval2.d000.s060.t009	7) A serialized set of programs
senseval2.d000.s060.t010	1) A written message addressed to a person or organization
senseval2.d000.s060.t012	1) A daily or weekly publication on folded sheets; contains news and articles and advertisements.
senseval2.d000.s060.t013	1) A person who is almost identical to another.The most suitable definition of "ringer" in this context is
senseval2.d000.s061.t000	3) Writes (books or stories or articles or the like) professionally (for pay).
senseval2.d000.s061.t001	1) Approve and express assent, responsibility, or obligation
senseval2.d000.s061.t002	1) A written message addressed to a person or organization
senseval2.d000.s061.t005	3) An adult person who is male (as opposed to a woman).
senseval2.d000.s061.t006	2) Make or write a comment on
senseval2.d000.s061.t007	3) The ratio of the number of observations in a statistical category to the total number of observations.In this context, "
senseval2.d000.s061.t008	2) An adult female person (as opposed to a man)
senseval2.d000.s061.t010	3) Drop a hint; intimate by a hint
senseval2.d000.s061.t012	2) At or to or toward the back or rear
senseval2.d000.s061.t013	2) Consisting of or derived from tradition
senseval2.d000.s061.t014	2) What something is used for.
senseval2.d000.s061.t015	1) Have a bowel movement
senseval2.d000.s061.t016	4) a beverage made by steeping tea leaves in water.
senseval2.d000.s061.t017	1) The social act of assembling for some common purpose.
senseval2.d000.s062.t000	2) A heavy rain
senseval2.d000.s062.t001	2) A statement (either spoken or written) that is made to reply to a question or request or criticism or accusation.
senseval2.d000.s062.t002	9) Be later in time.
senseval2.d000.s062.t003	2) An adult female person (as opposed to a man).
senseval2.d000.s062.t004	1) A person who is almost identical to another.In the given sentence, the word "ringer" is used to
senseval2.d000.s062.t005	6) Observe with care or pay close attention to
senseval2.d000.s062.t006	3) Relating to or constituting the middle value of an ordered set of values (or the average of the middle two
senseval2.d000.s062.t007	2) For or pertaining to or composed of men or boys
