senseval2.d000.s000.t000	In the context of the given sentence, the word "art" refers to a skill or a practice.
senseval2.d000.s038.t012	According to the Oxford English Dictionary, "promptly" is defined as:1. Happening or done quickly in a timely
senseval2.d000.s038.t015	According to the Oxford English Dictionary, "protest" is defined as:"A public expression of discontent or objection, especially in
senseval2.d000.s039.t000	Here is a dictionary definition of "club" in the given sentence:1. A group of people with a common interest or
senseval2.d000.s039.t001	Here's a dictionary definition of "treated":* Treated (verb): past tense of "treat", meaning:
senseval2.d000.s039.t002	Here's a dictionary definition for "tower":1. A tall, narrow, and usually tall, vertical structure, typically with
senseval2.d000.s039.t003	Adverbial sense 1 of "sort" in this sentence: to resemble or have a certain character or quality.
senseval2.d000.s039.t004	Here's a dictionary definition of "separate":1. (adjective) Distinct and apart from others; distinct and
senseval2.d000.s039.t006	The word "says" in the given sentence is a verb.
senseval2.d000.s040.t000	"New" can be defined as:1. Existing for the first time; not previously known or experienced.2. Recently
senseval2.d000.s040.t002	The word "today" in the given sentence is an adverb, and its dictionary definition is:1. existing or happening
senseval2.d000.s040.t003	Member: 1. A person who belongs to a particular group, organization, or institution.
senseval2.d000.s040.t004	A congregation refers to a group of people who are united in a common interest, activity, or affiliation, often in a place
senseval2.d000.s041.t000	"Still" is an adverb that means remaining unchanged or unaltered in a state; not changed or modified.
senseval2.d000.s041.t002	The word "ringers" in the given sentence is a noun that refers to people who operate or tend to bells, especially
senseval2.d000.s041.t003	The word "ring" in the sentence "But there still are not enough ringers to ring more than six of the eight
senseval2.d000.s041.t005	According to the dictionary, "bells" can refer to:* A vessel, especially a hollow one, that is used
senseval2.d000.s042.t000	Bells: (noun) A set of metal objects that produce a ringing sound when struck, typically used for signaling, ceremonial
senseval2.d000.s042.t002	Here's a dictionary definition of "silent" from Merriam-Webster:1. Not making any sound.
senseval2.d000.s042.t003	Following: - in a sequence or order after something else has happened.
senseval2.d000.s042.t005	A building for Christian worship or other religious services.
senseval2.d000.s043.t000	A vicar is a clergyman in the Church of England, or a person who holds the office of vicar.
senseval2.d000.s043.t001	Definition: Refuses (verb): to decline or turn down an offer, request, or proposal, especially in a formal
senseval2.d000.s043.t002	In the given sentence, the phrase "talk about" can be defined as:* To discuss or mention a subject, especially
senseval2.d000.s043.t003	According to the dictionary, "saying" in this context refers to a statement or expression, especially one that is used to
senseval2.d000.s044.t000	The word "vicar" is defined as:A clergyman in the Church of England, particularly the senior clergyman who
senseval2.d000.s044.t002	Here's a dictionary definition of "church":Church (noun): 1. A building for public worship, especially in the
senseval2.d000.s044.t003	According to the Oxford English Dictionary, "feels" is a verb that means:1. To have a sensation or emotion
senseval2.d000.s044.t004	Fault (noun): 1. A defect or weakness in something, especially one that causes a problem or is the cause of
senseval2.d000.s044.t008	The word "next" in the sentence "next to the altar" is defined as:1. Located immediately beside something else
senseval2.d000.s044.t009	Here's a dictionary definition of "altar" from the Oxford English Dictionary:1. A raised platform or table, typically in
senseval2.d000.s045.t000	Adverbial.
senseval2.d000.s045.t007	Here's a dictionary definition of "here":1. (adverb) Located in or at the place where someone is speaking
senseval2.d000.s045.t008	In the given sentence, "come" is a verb.
senseval2.d000.s045.t009	Ringers: bells that ring, especially church bells.
senseval2.d000.s045.t010	Above: Located or situated in a higher position or level than something else; higher than the surface of the earth; in the
senseval2.d000.s045.t011	The verb "making" in the sentence is a present participle verb form, which functions as the gerund, indicating the
senseval2.d000.s045.t012	According to the Oxford English Dictionary, "very" is an adverb that means: 1. Used to emphasize the degree
senseval2.d000.s045.t014	The word "exit" in the given sentence refers to the act of leaving or departing, often in a sudden or abrupt manner
senseval2.d000.s045.t015	A dictionary definition of "congregation" in this context is:A group of people who gather together for a particular purpose or
senseval2.d000.s045.t016	The dictionary definition for "prayer" in this context is: 1. A expression of devotion or gratitude to a deity
senseval2.d000.s045.t017	"Say" is a verb.
senseval2.d000.s046.t000	Admits (verb): 1. To acknowledge or recognize the truth or existence of something, or to accept responsibility for something
senseval2.d000.s046.t001	Mixed (adjective): consisting of two or more different things, ideas, or qualities; having a combination of two or more
senseval2.d000.s046.t002	According to the Oxford English Dictionary, "feelings" refers to:1. Emotions or sensations; emotions are the subjective
senseval2.d000.s046.t003	"Issue" can be defined as:1. A problem or question that needs to be decided or solved.2. A
senseval2.d000.s046.t004	A vicar is a clergyman in the Church of England, particularly one who has been appointed to a parish church.
senseval2.d000.s046.t005	Active: (adjective) Engaging in physical or mental effort; not passive.
senseval2.d000.s046.t006	A bell-ringer refers to a person who operates a bell, typically in a church or other place of worship, to signal
senseval2.d000.s047.t000	The word "sound" in the sentence "The sound of bells is a net to draw people into the church" is defined
senseval2.d000.s047.t001	In the given sentence, "bells" refers to a set of metal objects that produce a ringing or clanging sound when
senseval2.d000.s047.t002	"Draw" in this sentence is a verb meaning "to attract or lure someone into a place or situation".
senseval2.d000.s047.t003	According to the Oxford English Dictionary, "people" is defined as:1. The aggregate of human beings living in a particular
senseval2.d000.s047.t004	The word "church" in the sentence is defined as:A building for public Christian worship, especially for a particular denomination.
senseval2.d000.s047.t005	In the given sentence, "says" is a verb that is used as an infinitive marker, also known as an infinit
senseval2.d000.s048.t000	In the given sentence, "live" is a verb. Definition: - To exist or be present in a place
senseval2.d000.s048.t001	Here's a dictionary definition for "hopes" from Merriam-Webster:1. a feeling of desire for
senseval2.d000.s048.t002	In the given sentence, "ringers" refers to a bell-ringer.
senseval2.d000.s048.t003	In the context of the sentence, "drawn" is a verb meaning: 1. Attracted or pulled towards something
senseval2.d000.s048.t004	"Fuller" can be defined as (1) fuller: having or showing a sense of completeness, completeness of life or
senseval2.d000.s048.t005	The word "life" in the given sentence can be defined as:1. The condition that distinguishes living beings from dead
senseval2.d000.s049.t000	A "sort" can be defined as: 1. A category or class of things.
senseval2.d000.s049.t001	A parliament is a legislative assembly or council of representatives of a country, state, or other organized body, especially one that has
