senseval2.d000.s000.t000	1) A superior skill that you can learn by study and practice and observation
senseval2.d000.s050.t004	1) An institution of higher education created to educate and grant degrees; often a part of a university
senseval2.d000.s050.t005	1) The emotion of great happiness
senseval2.d000.s050.t006	2) Playing a set of bells that are (usually) hung in a tower
senseval2.d000.s050.t007	2) In the near future
senseval2.d000.s050.t008	1) Prepare and issue for public distribution or sale
senseval2.d000.s050.t010	The most suitable dictionary definition for "vicar" in the given sentence is:2) (Church of England) a cl
senseval2.d000.s050.t011	2) A politically organized body of people under a single government
senseval2.d000.s050.t012	The most suitable dictionary definition for "entitled" in the given sentence is:2) Give a title toThe sentence
senseval2.d000.s050.t013	The most suitable dictionary definition which identifies the meaning of "bells" in the given sentence is:7) A percussion instrument
senseval2.d000.s050.t014	3) Attention and management implying responsibility for safety
senseval2.d000.s051.t000	4) State as one's opinion or judgement; declare
senseval2.d000.s051.t002	6) Be fully aware or cognizant of
senseval2.d000.s051.t003	1) Not in any degree or manner; not at all
senseval2.d000.s051.t005	2) Standing above others in quality or position
senseval2.d000.s051.t006	4) Status established in order of importance or urgency
senseval2.d000.s051.t007	4) A place for public (especially Christian) worship
senseval2.d000.s051.t008	7) The experience of being alive; the course of human events and activities.
senseval2.d000.s051.t009	The most suitable dictionary definition for "experience" in the given sentence is:1) The content of direct observation or participation
senseval2.d000.s052.t002	2) Set to work upon; turn one's energies vigorously to a task
senseval2.d000.s052.t004	The most suitable dictionary definition for "problem" in the given sentence is:3) A state of difficulty that needs to be
senseval2.d000.s052.t006	3) A contestant entered in a competition under false pretenses
senseval2.d000.s053.t000	4) A form containing a set of questions; submitted to people to gain statistical information
senseval2.d000.s053.t001	4) State as one's opinion or judgement; declare
senseval2.d000.s053.t003	1) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s053.t005	1) The day that includes the present moment (as opposed to yesterday or tomorrow)
senseval2.d000.s053.t006	2) And nothing more
senseval2.d000.s053.t007	1) With reference to action or condition; without change, interruption, or cessation
senseval2.d000.s054.t001	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s054.t002	1) Without variation or change, in every case
senseval2.d000.s054.t003	4) Inhabit or live in; be an inhabitant of
senseval2.d000.s054.t004	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s054.t005	1) Have need of
senseval2.d000.s054.t006	The most suitable dictionary definition for "rung" in the given sentence is:3) Ring or echo with soundThis
senseval2.d000.s054.t007	3) Limited in size or scope
senseval2.d000.s055.t000	1) A body serving in an administrative capacity
senseval2.d000.s055.t001	The most suitable dictionary definition for "program" in the given sentence is:6) A system of projects or services intended to
senseval2.d000.s055.t002	2) Be attractive to
senseval2.d000.s055.t003	The most suitable dictionary definition for "train" in the given sentence is:7) Educate for a future role or function
senseval2.d000.s055.t004	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s055.t005	2) And nothing more
senseval2.d000.s055.t008	4) State as one's opinion or judgement; declare
senseval2.d000.s056.t000	The most suitable dictionary definition for "Right" in the given sentence is:1) In the right mannerThe sentence is
senseval2.d000.s056.t001	2) At the present moment
senseval2.d000.s056.t002	The most suitable dictionary definition for "lucky" in the given sentence is:1) Presaging or likely to bring good
senseval2.d000.s056.t003	2) The period of time that it takes for a planet (as, e.g., Earth or Mars) to make a
senseval2.d000.s056.t005	The most suitable dictionary definition which identifies the meaning of "new" in the given sentence is:7) Not of long duration
senseval2.d000.s056.t006	3) A contestant entered in a competition under false pretenses
senseval2.d000.s056.t007	2) State or say further
senseval2.d000.s057.t000	The most suitable dictionary definition for "bright" in the given sentence is:11) Full or promiseIn the context
senseval2.d000.s057.t001	7) An event that is experienced as indicating important things to come.
senseval2.d000.s057.t003	2) How much there is or how many there are of something that you can quantify
senseval2.d000.s057.t004	2) An adult female person (as opposed to a man)
senseval2.d000.s057.t005	1) Become a participant; be involved in
senseval2.d000.s057.t006	1) At a previous time
senseval2.d000.s057.t007	The most suitable dictionary definition for "field" in the given sentence is:2) Somewhere (away from a studio or
senseval2.d000.s057.t009	1) One of three equal parts of a divisible whole
senseval2.d000.s057.t010	3) A contestant entered in a competition under false pretenses
senseval2.d000.s057.t011	1) The day that includes the present moment (as opposed to yesterday or tomorrow)
senseval2.d000.s057.t012	2) An adult female person (as opposed to a man)
senseval2.d000.s058.t000	8) Give an affirmative reply to; respond favorably to
senseval2.d000.s058.t002	2) Despite anything to the contrary (usually following a concession)
senseval2.d000.s059.t000	2) Playing a set of bells that are (usually) hung in a tower
senseval2.d000.s059.t001	4) An organization of musicians who perform together
senseval2.d000.s059.t002	2) A politically organized body of people under a single government
senseval2.d000.s059.t003	The most suitable dictionary definition for "founded" in the given sentence is:1) Set up or lay the groundwork
senseval2.d000.s059.t004	1) Continue in a place, position, or situation
senseval2.d000.s059.t005	2) A piece of information about circumstances that exist or events that have occurred
senseval2.d000.s059.t006	1) Specifically or especially distinguished from others
senseval2.d000.s059.t008	2) An adult female person (as opposed to a man)
senseval2.d000.s059.t009	4) An organization of musicians who perform together
senseval2.d000.s059.t011	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s059.t013	2) Used to form the superlative
senseval2.d000.s059.t015	4) A place for public (especially Christian) worship
senseval2.d000.s060.t001	2) An adult female person (as opposed to a man)
senseval2.d000.s060.t002	2) Record in a public office or in a court of law
senseval2.d000.s060.t004	3) A petition or appeal made to a person of superior status or rank
senseval2.d000.s060.t005	1) The distance or area or volume over which something extends
senseval2.d000.s060.t006	The most suitable dictionary definition for "problem" in the given sentence is:3) A state of difficulty that needs to be
senseval2.d000.s060.t007	2) Appear or become visible; make a showing
senseval2.d000.s060.t008	1) The warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumn
senseval2.d000.s060.t009	8) Similar things placed in order or happening one after another
senseval2.d000.s060.t010	1) A written message addressed to a person or organization
senseval2.d000.s060.t012	1) A daily or weekly publication on folded sheets; contains news and articles and advertisements
senseval2.d000.s060.t013	2) A person who rings church bells (as for summoning the congregation)
senseval2.d000.s061.t000	2) A person who is able to write and has written something
senseval2.d000.s061.t001	3) Mark with one's signature; write one's name (on)
senseval2.d000.s061.t002	1) A written message addressed to a person or organization
senseval2.d000.s061.t005	The most suitable dictionary definition which identifies the meaning of "male" in the given sentence is:3) An adult person who
senseval2.d000.s061.t006	1) Make mention of
senseval2.d000.s061.t007	2) The number of observations in a given statistical category
senseval2.d000.s061.t008	2) An adult female person (as opposed to a man)
senseval2.d000.s061.t010	1) Make a proposal, declare a plan for something
senseval2.d000.s061.t012	2) At or to or toward the back or rear
senseval2.d000.s061.t013	The most suitable dictionary definition for "traditional" in the given sentence is:1) Pertaining to time-honored
senseval2.d000.s061.t014	1) The actions and activities assigned to or required or expected of a person or group
senseval2.d000.s061.t015	The most suitable dictionary definition for "making" in the given sentence is:4) Engage inThe sentence suggests that
senseval2.d000.s061.t016	4) A beverage made by steeping tea leaves in water
