senseval2.d000.s000.t000	2) The products of human creativity; works of art collectively
senseval2.d000.s041.t002	2) A person who rings church bells (as for summoning the congregations).
senseval2.d000.s041.t003	6) Make (bells) ring, often for the purposes of musical edification
senseval2.d000.s041.t005	6) The sound of a bell being struck.This definition directly corresponds to the context of the sentence, where the phrase "
senseval2.d000.s042.t000	The most suitable definition for "bells" in the given sentence is:6) The sound of a bell being struck
senseval2.d000.s042.t002	4) Marked by absence of sound.
senseval2.d000.s042.t003	The most suitable definition of "following" in the given sentence is:1) Follow, discover, or ascertain the course of
senseval2.d000.s042.t005	4) A place for public (especially Christian) worship
senseval2.d000.s043.t000	2) (Church of England) a clergyman appointed to act as priest of a parish.The sentence implies that W.D
senseval2.d000.s043.t001	6) Refuse to acceptIn the given sentence, the vicar is unwilling to discuss a certain topic, which means
senseval2.d000.s043.t002	1) Discuss or mention
senseval2.d000.s043.t003	11) Express in words
senseval2.d000.s044.t000	2) (Church of England) a clergyman appointed to act as priest of a parish.
senseval2.d000.s044.t002	4) A place for public (especially Christian) worship
senseval2.d000.s044.t003	2) Undergo an emotional sensation or be in a particular state of mind.This definition best describes the meaning of "fe
senseval2.d000.s044.t004	6) A wrong action attributable to bad judgment or ignorance or inattention.In the given sentence, C.J.B. Marshall
senseval2.d000.s044.t008	1) Nearest in space or position; immediately adjoining without intervening space.
senseval2.d000.s044.t009	2) The table in Christian churches where communion is given.In this sentence, the word "altar" refers to the table
senseval2.d000.s045.t000	3) Subsequently or soon afterward (often used as sentence connectors)In this sentence, "so" is used to introduce
senseval2.d000.s045.t007	1) In or at this place; where the speaker or writer is.
senseval2.d000.s045.t008	6) Move toward, travel toward something or somebody or approach something or somebody
senseval2.d000.s045.t009	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s045.t010	1) In or to a place that is higher.
senseval2.d000.s045.t011	10) Appear to begin an activity
senseval2.d000.s045.t012	2) Used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is
senseval2.d000.s045.t014	1) An opening that permits escape or release
senseval2.d000.s045.t015	1) A group of people who adhere to a common faith and habitually attend a given church
senseval2.d000.s045.t016	1) The act of communicating with a deity (especially as a petition or in adoration or contrition or thanksgiving)
senseval2.d000.s045.t017	The most suitable dictionary definition for "says" in the given sentence is:6) Utter aloudIn the sentence,
senseval2.d000.s046.t000	4) Declare to be true or admit the existence or reality or truth ofIn this sentence, Vicar Marshall "ad
senseval2.d000.s046.t001	2) Consisting of a haphazard assortment of different kinds.The sentence implies that Vicar Marshall has mixed feelings,
senseval2.d000.s046.t002	2) The experiencing of affective and emotional states.This definition best captures the meaning of "feelings" in the given
senseval2.d000.s046.t003	3) An important question that is in dispute and must be settled.In this sentence, "issue" refers to a contentious
senseval2.d000.s046.t004	2) (Church of England) a clergyman appointed to act as priest of a parish.In this context, "vic
senseval2.d000.s046.t005	3) (used of verbs (e.g. `to run') and participial adjectives (e.g. `running
senseval2.d000.s046.t006	1) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s047.t000	2) (phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of
senseval2.d000.s047.t001	6) The sound of a bell being struck.
senseval2.d000.s047.t002	The most suitable dictionary definition which identifies the meaning of "draw" in the given sentence is:22) Take in, also
senseval2.d000.s047.t003	3) (plural) any group of human beings (men or women or children) collectively.
senseval2.d000.s047.t004	4) A place for public (especially Christian) worship
senseval2.d000.s047.t005	11) Express in wordsThe sentence is using the verb "says" as an intransitive verb, meaning that the
senseval2.d000.s048.t000	6) Support oneselfThis definition best fits the context of the sentence, as "live" is used in the phrase "
senseval2.d000.s048.t001	3) The general feeling that some desire will be fulfilled
senseval2.d000.s048.t002	2) A person who rings church bells (as for summoning the congregation).In the context of the sentence, "r
senseval2.d000.s048.t003	The most suitable definition for the word "drawn" in the given sentence is:6) Make, formulate, or derive
senseval2.d000.s048.t004	6) Constituting the full quantity or extent; completeIn the given sentence, "fuller" refers to a person
senseval2.d000.s048.t005	7) The experience of being alive; the course of human events and activities
senseval2.d000.s049.t000	5) A category of things distinguished by some common characteristic or quality.In this context, "sort" is used to describe
senseval2.d000.s049.t001	3) A legislative assembly in certain countries.This definition best fits the context of the sentence, as it refers to a group
senseval2.d000.s049.t002	4) An organization of musicians who perform together.
senseval2.d000.s049.t003	3) Intend (something) to move towards a certain goal
senseval2.d000.s049.t004	2) To make betterThe sentence is saying that the Central Council is taking actions to make relations with vicars better.
senseval2.d000.s049.t006	2) (Church of England) a clergyman appointed to act as priest of a parish.
senseval2.d000.s049.t007	4) State as one's opinion or judgement; declare
senseval2.d000.s049.t008	1) The presiding officer of a deliberative assembly
senseval2.d000.s050.t000	2) Expect and wish.
senseval2.d000.s050.t001	2) Express in speech
senseval2.d000.s050.t002	1) A learner who is enrolled in an educational institution.
senseval2.d000.s050.t004	1) An institution of higher education created to educate and grant degrees; often a part of a university.This definition best fits
senseval2.d000.s050.t005	1) The emotion of great happiness
senseval2.d000.s050.t006	2) Playing a set of bells that are (usually) hung in a tower.
senseval2.d000.s050.t007	2) In the near future
senseval2.d000.s050.t008	1) Prepare and issue for public distribution or sale
senseval2.d000.s050.t010	2) (Church of England) a clergyman appointed to act as priest of a parish.
senseval2.d000.s050.t011	3) The territory occupied by a nationThis definition of "country" fits the context of the sentence, which mentions the
senseval2.d000.s050.t012	2) Give a title to
senseval2.d000.s050.t013	6) The sound of a bell being struckThis definition is the most suitable as it directly refers to the noise produced by
